City (for azimuth),hive,camera,month,day,year,hour,minute,segment,dance found?,segment start time,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag,,,,,,,,,
Columbus,2,ELPH340,August,28,2014,11,9,15,,,,1,1,4,8,1145,1230,1185.125,27.689,313,336,325.375,8.798,0.767,1.101,0.884,0.148,88,97,91.5,3.817,20.591,23.022,21.683,1.072,0,23.022,10.841,11.611,NA,NA,NA,NA,20.591,23.022,21.683,1.072,20.001,29.998,24.993,4.089,29.055,58.57,40.369,12.858,NA,NA,NA,NA,-4.69,123.745,153.26,135.059,,123.5,258.559,4.512705861,0,,,,,,,,,
,,,,,,,,,,,,1,1,4,8,286.056,373.653,329.683,26.935,295.637,385.971,342.173,30.085,0,0,0,0,79,138,100.125,17.932,23.308,30.758,28.141,3.359,0,30.758,14.07,15.202,NA,NA,NA,NA,23.308,30.758,28.141,3.359,NA,NA,NA,NA,-155.772,-139.764,-147.011,6.702,NA,NA,NA,NA,0,294.228,310.236,302.989,,,302.989,5.288155647,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_14_36_for_1min.avi,yes,14:36,,1,1,4,8,748,785.333,768.5,13.874,397.333,480,438.667,30.094,2.436,2.97,2.744,0.227,46,74,56.25,9.067,48.166,56.063,51.481,3.908,0,56.063,25.741,27.637,NA,NA,NA,NA,48.166,56.063,51.481,3.908,17.651,19.775,18.783,0.871,-96.34,-87.274,-92.81,3.955,NA,NA,NA,NA,0,353.66,2.726,357.19,14:36,215.5,212.69,3.712140786,1,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_14_41_for_1min.avi,no,14:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,14:41,217.8,307.8,5.372123438,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_14_46_for_1min.avi,yes,14:46,,1,1,4,8,405.333,477.333,443,27.146,220,325.333,275.833,34.933,2.503,3.804,3.278,0.557,75,146,98.5,22.596,35.901,57.889,49.705,9.621,0,57.889,24.852,27.305,NA,NA,NA,NA,35.901,57.889,49.705,9.621,14.346,15.449,15.107,0.517,-141.546,-105.068,-123.199,14.893,NA,NA,NA,NA,0,308.454,344.932,326.801,14:46,219.9,186.701,3.258547167,1,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_14_46_for_1min.avi,yes,14:46,,2,2,4,8,312,357.333,337,17.293,385.333,424,399,13.98,1.268,1.702,1.51,0.21,90,125,105.75,12.163,26.297,40.354,32.127,6.331,0,40.354,16.064,17.666,NA,NA,NA,NA,26.297,40.354,32.127,6.331,16.529,26.603,21.521,4.671,-174.56,-149.534,-164.516,11.493,NA,NA,NA,NA,0,275.44,300.466,285.484,14:46,219.9,145.384,2.53742948,1,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_14_51_for_1min.avi,yes,14:51,,1,1,4,8,408,590.667,519,63.896,524,553.333,538.333,10.468,2.169,2.669,2.361,0.222,38,86,59.5,14.323,56.269,83.958,68.545,12.137,0,83.958,34.272,37.49,NA,NA,NA,NA,56.269,83.958,68.545,12.137,25.944,31.453,28.876,2.496,-169.315,171.347,1.42,195.407,NA,NA,NA,NA,0,280.685,261.347,91.42,14:51,222,313.42,5.470210942,1,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_14_56_for_1min.avi,yes,14:56,,1,1,4,8,781.333,866.667,826.833,30.417,501.333,545.333,528,16.562,2.269,2.669,2.494,0.171,58,79,65.25,8.067,46.97,58.727,53.125,5.163,0,58.727,26.562,28.597,NA,NA,NA,NA,46.97,58.727,53.125,5.163,19.89,22.558,21.288,1.213,-177.397,-164.876,-171.178,5.435,NA,NA,NA,NA,0,272.603,285.124,278.822,14:56,224,142.822,2.492714144,1,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_01_for_1min.avi,no,15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:01,226,316,5.515240436,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_06_for_1min.avi,no,15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:06,227.9,317.9,5.548401692,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_11_for_1min.avi,no,15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:11,229.7,319.7,5.579817619,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_16_for_1min.avi,no,15:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:16,231.4,321.4,5.609488216,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_21_for_1min.avi,no,15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:21,233.1,323.1,5.639158813,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_26_for_1min.avi,no,15:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:26,234.8,324.8,5.66882941,0,,,,,,,,,
London,FSR,,MAY,4,2015,14,30,FSR_050415_15_31_for_1min.avi,no,15:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90,90,90,15:31,236.3,326.3,5.695009349,0,,,,,,,,,
