dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
3,FSR,4,2015,FSR_050415_14_36_for_1min.avi,yes,14:36,1,1,4,8,748,785.333,768.5,13.874,397.333,480,438.667,30.094,2.436,2.97,2.744,0.227,46,74,56.25,9.067,48.166,56.063,51.481,3.908,0,56.063,25.741,27.637,NA,NA,NA,NA,48.166,56.063,51.481,3.908,17.651,19.775,18.783,0.871,-96.34,-87.274,-92.81,3.955,NA,NA,NA,NA,0,138.16,-212.774,141.69,14:36,215.5,357.19,6.23414155519855,1,,,,,,,,,
4,FSR,4,2015,FSR_050415_14_41_for_1min.avi,no,14:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-128,-128,-128,14:41,217.8,90,2,0,,,,,,,,,
5,FSR,4,2015,FSR_050415_14_46_for_1min.avi,yes,14:46,1,1,4,8,405.333,477.333,443,27.146,220,325.333,275.833,34.933,2.503,3.804,3.278,0.557,75,146,98.5,22.596,35.901,57.889,49.705,9.621,0,57.889,24.852,27.305,NA,NA,NA,NA,35.901,57.889,49.705,9.621,14.346,15.449,15.107,0.517,-141.546,-105.068,-123.199,14.893,NA,NA,NA,NA,0,88.554,125.032,106.901,14:46,219.9,326.801,5.70375344880999,1,,,,,,,,,
6,FSR,4,2015,FSR_050415_14_46_for_1min.avi,yes,14:46,2,2,4,8,312,357.333,337,17.293,385.333,424,399,13.98,1.268,1.702,1.51,0.21,90,125,105.75,12.163,26.297,40.354,32.127,6.331,0,40.354,16.064,17.666,NA,NA,NA,NA,26.297,40.354,32.127,6.331,16.529,26.603,21.521,4.671,-174.56,-149.534,-164.516,11.493,NA,NA,NA,NA,0,55.54,80.566,65.584,14:46,219.9,285.484,4.98263576176349,1,,,,,,,,,
7,FSR,4,2015,FSR_050415_14_51_for_1min.avi,yes,14:51,1,1,4,8,408,590.667,519,63.896,524,553.333,538.333,10.468,2.169,2.669,2.361,0.222,38,86,59.5,14.323,56.269,83.958,68.545,12.137,0,83.958,34.272,37.49,NA,NA,NA,NA,56.269,83.958,68.545,12.137,25.944,31.453,28.876,2.496,-169.315,171.347,1.42,195.407,NA,NA,NA,NA,0,58.685,39.347,-130.58,14:51,222,91.42,1.59558000217322,1,,,,,,,,,
8,FSR,4,2015,FSR_050415_14_56_for_1min.avi,yes,14:56,1,1,4,8,781.333,866.667,826.833,30.417,501.333,545.333,528,16.562,2.269,2.669,2.494,0.171,58,79,65.25,8.067,46.97,58.727,53.125,5.163,0,58.727,26.562,28.597,NA,NA,NA,NA,46.97,58.727,53.125,5.163,19.89,22.558,21.288,1.213,-177.397,-164.876,-171.178,5.435,NA,NA,NA,NA,0,48.603,61.124,54.822,14:56,224,278.822,4.86636192699563,1,,,,,,,,,
9,FSR,4,2015,FSR_050415_15_01_for_1min.avi,no,15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-136,-136,-136,15:01,226,90,2,0,,,,,,,,,
10,FSR,4,2015,FSR_050415_15_06_for_1min.avi,no,15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-138,-138,-138,15:06,227.9,90,2,0,,,,,,,,,
11,FSR,4,2015,FSR_050415_15_11_for_1min.avi,no,15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-140,-140,-140,15:11,229.7,90,2,0,,,,,,,,,
12,FSR,4,2015,FSR_050415_15_16_for_1min.avi,no,15:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-141,-141,-141,15:16,231.4,90,2,0,,,,,,,,,
13,FSR,4,2015,FSR_050415_15_21_for_1min.avi,no,15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-143,-143,-143,15:21,233.1,90,2,0,,,,,,,,,
