dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
502,HONEYRUN,4,2015,HONEYRUN_050415_11_47_for_1min.avi,yes,11:47,1,1,4,8,657.5,698.833,679.083,15.118,229.5,289.5,252.75,20.657,1.435,1.835,1.66,0.179,62,89,77.875,7.936,28.425,48.06,38.087,8.024,0,48.06,19.043,21.025,NA,NA,NA,NA,28.425,48.06,38.087,8.024,19.812,27.177,22.827,3.274,39.289,66.28,50.555,13.175,NA,NA,NA,NA,0,-0.111000000000004,26.88,11.155,11:47,129.4,140.555,2.45314753014063,1,,,,,,,,,
503,HONEYRUN,4,2015,HONEYRUN_050415_11_47_for_1min.avi,yes,11:47,2,2,4,8,421.167,469.167,442,18.001,174.833,219.5,196.083,14.547,1.068,1.568,1.251,0.222,64,116,83.5,17.517,20.699,32.694,26.932,6.384,0,32.694,13.466,14.99,NA,NA,NA,NA,20.699,32.694,26.932,6.384,17.95,28.36,21.636,4.636,-145.981,-104.931,-125.717,20.67,NA,NA,NA,NA,0,174.619,215.669,194.883,11:47,129.4,324.283,5.65980605824477,1,,,,,,,,,
504,HONEYRUN,4,2015,HONEYRUN_050415_11_52_for_1min.avi,yes,11:52,1,1,4,8,499.833,579.167,549.083,24.815,204.833,261.5,231.417,21.116,1.535,1.869,1.702,0.147,56,87,71.875,10.302,34.928,49.978,44.009,6.406,0,49.978,22.004,23.895,NA,NA,NA,NA,34.928,49.978,44.009,6.406,18.693,32.562,26.219,5.747,43.919,66.371,53.487,10.433,NA,NA,NA,NA,0,2.819,25.271,12.387,11:52,131.1,143.487,2.5043205838091,1,,,,,,,,,
505,HONEYRUN,4,2015,HONEYRUN_050415_11_57_for_1min.avi,yes,11:57,1,1,4,8,889.028,909.091,900.784,7.31,367.398,411.285,388.401,17.616,1.502,1.802,1.693,0.132,46,84,67.75,13.275,27.386,36.364,30.658,4.089,0,36.364,15.329,16.604,NA,NA,NA,NA,27.386,36.364,30.658,4.089,15.784,20.182,18.104,1.838,63.435,90,76.796,11.087,NA,NA,NA,NA,0,20.435,47,33.796,11:57,133,166.796,2.91113937915646,1,,,,,,,,,
506,HONEYRUN,4,2015,HONEYRUN_050415_11_57_for_1min.avi,yes,11:57,2,2,4,8,1263.5,1318.167,1287.75,21.883,160.167,202.167,179.167,19.057,2.102,2.369,2.261,0.114,52,81,65.875,8.493,46.207,62.404,52.513,6.994,0,62.404,26.257,28.441,NA,NA,NA,NA,46.207,62.404,52.513,6.994,20.07,27.504,23.294,3.449,-43.831,-40.668,-42.422,1.333,NA,NA,NA,NA,0,-86.831,-83.668,-85.422,11:57,133,47.578,0.830392751513862,1,,,,,,,,,
507,HONEYRUN,4,2015,HONEYRUN_050415_12_02_for_1min.avi,yes,12:02,1,1,4,8,1214.833,1328.167,1274.167,37.071,272.833,332.833,303.583,23.821,2.135,2.803,2.419,0.28,58,104,73.5,15.575,45.748,54.732,50.98,3.851,0,54.732,25.49,27.366,NA,NA,NA,NA,45.748,54.732,50.98,3.851,18.804,25.63,21.285,3.052,-34.695,-2.793,-14.8,15.211,NA,NA,NA,NA,0,-79.595,-47.693,-59.7,12:02,134.9,75.2,1.31248759749974,1,,,,,,,,,
508,HONEYRUN,4,2015,HONEYRUN_050415_12_02_for_1min.avi,yes,12:02,2,2,4,8,576.5,611.167,589.333,10.907,230.833,276.167,252.417,15.936,0.4,0.701,0.509,0.132,62,110,85.5,15.566,17.036,32.585,23.151,6.705,0,32.585,11.575,13.13,NA,NA,NA,NA,17.036,32.585,23.151,6.705,36.469,50.639,45.555,6.288,-120.763,139.764,-54.746,129.683,NA,NA,NA,NA,0,194.337,94.864,-99.646,12:02,134.9,35.254,0.615298374498081,1,,,,,,,,,
509,HONEYRUN,4,2015,HONEYRUN_050415_12_07_for_1min.avi,yes,12:07,1,1,4,8,399.5,444.167,416.833,14.129,249.5,333.5,288.917,30.129,1.2,1.74,1.433,0.228,85,119,102.25,12.703,27.536,58.241,41.696,12.612,0,58.241,20.848,23.768,NA,NA,NA,NA,27.536,58.241,41.696,12.612,19.122,33.943,29.093,6.896,65.556,83.047,72.888,7.622,NA,NA,NA,NA,0,18.656,36.147,25.988,12:07,136.9,162.888,2.84293191198852,1,,,,,,,,,
510,HONEYRUN,4,2015,HONEYRUN_050415_12_07_for_1min.avi,yes,12:07,2,2,4,8,1164.167,1276.833,1224.333,37.85,281.5,320.833,299.917,14.245,1.77,2.19,1.987,0.172,51,90,66.625,13.989,52.068,62.914,58.455,4.813,0,62.914,29.227,31.404,NA,NA,NA,NA,52.068,62.914,58.455,4.813,27.983,31.301,29.442,1.381,-18.225,-13.325,-15.35,2.09,NA,NA,NA,NA,0,-65.125,-60.225,-62.25,12:07,136.9,74.65,1.30288828661377,1,,,,,,,,,
511,HONEYRUN,4,2015,HONEYRUN_050415_12_12_for_1min.avi,yes,12:12,1,1,4,8,565,615,588.375,15.838,198,214,205.625,5.37,0.701,1.001,0.859,0.135,70,101,86.375,11.698,15.811,28.443,22.163,5.2,0,28.443,11.082,12.326,NA,NA,NA,NA,15.811,28.443,22.163,5.2,19.744,30.509,25.827,4.726,-177.51,161.565,-88.759,166.925,NA,NA,NA,NA,0,133.49,112.565,-137.759,12:12,139,1.24099999999999,0.0216595360172494,1,,,,,,,,,
