dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
162,MECHANICSBURG,5,2015,MB_050515_13_01_for_1min.avi,yes,13:01,1,1,4,8,1168.345,1205.755,1182.734,14.532,556.835,607.194,577.518,17.299,1.668,2.102,1.894,0.208,37,67,52,9.871,21.916,34.652,28.926,5.279,0,34.652,14.463,15.843,NA,NA,NA,NA,21.916,34.652,28.926,5.279,13.136,17.086,15.229,1.866,-90,-66.801,-81.582,10.166,NA,NA,NA,NA,0,-162.6,-139.401,-154.182,13:01,162.6,8.41800000000001,0.146921816432883,1,,,,,,,,,
163,MECHANICSBURG,5,2015,MB_050515_13_01_for_1min.avi,yes,13:01,2,2,4,8,1184.173,1227.338,1202.878,17.706,274.82,305.036,286.331,10.347,0.3,1.935,1.268,0.719,29,72,43.25,13.307,11.511,40.313,27.768,12.102,0,40.313,13.884,16.825,NA,NA,NA,NA,11.511,40.313,27.768,12.102,16.508,38.331,25.595,9.16,161.565,180,172.939,8.264,NA,NA,NA,NA,0,88.965,107.4,100.339,13:01,162.6,262.939,4.58915128190137,1,,,,,,,,,
164,MECHANICSBURG,5,2015,MB_050515_13_01_for_1min.avi,yes,13:01,3,3,4,8,1192.806,1237.41,1219.964,16.323,456.115,503.597,482.914,18.489,0.434,0.968,0.767,0.245,53,73,60.875,7.12,22.01,44.02,32.916,9.348,0,44.02,16.458,18.628,NA,NA,NA,NA,22.01,44.02,32.916,9.348,38.502,50.742,43.786,5.496,90,112.834,101.363,9.322,NA,NA,NA,NA,0,17.4,40.234,28.763,13:01,162.6,191.363,3.33991441649391,1,,,,,,,,,
165,MECHANICSBURG,5,2015,MB_050515_13_06_for_1min.avi,yes,13:06,1,1,2,4,1002.878,1024.46,1014.029,10.598,397.122,435.971,414.388,16.065,17017017,21021021,19019019,2831258.38,23,37,29,6.683,23.423,30.793,27.108,5.211,0,30.793,13.554,15.937,NA,NA,NA,NA,23.423,30.793,27.108,5.211,1.38E-06,1.47E-06,1.42E-06,6.25E-08,127.405,137.49,132.447,7.131,NA,NA,NA,NA,0,52.005,62.09,57.047,13:06,165.4,222.447,3.88243256118383,1,,,,,,,,,
166,MECHANICSBURG,5,2015,MB_050515_13_11_for_1min.avi,yes,13:11,1,1,4,8,556.835,615.827,588.669,19.585,536.691,575.54,554.317,16.758,0,0,0,0,50,74,60.125,7.318,21.583,38.608,33.121,7.86,0,38.608,16.56,18.436,NA,NA,NA,NA,21.583,38.608,33.121,7.86,NA,NA,NA,NA,114.444,126.87,120.088,5.655,NA,NA,NA,NA,0,36.144,48.57,41.788,13:11,168.3,210.088,3.66672731892985,1,,,,,,,,,
167,MECHANICSBURG,5,2015,MB_050515_13_11_for_1min.avi,yes,13:11,2,2,4,8,1164.029,1200,1186.511,12.822,174.101,220.144,195.683,14.552,0,0,0,0,42,56,49.875,5.139,19.358,23.817,21.19,1.94,0,23.817,10.595,11.398,NA,NA,NA,NA,19.358,23.817,21.19,1.94,NA,NA,NA,NA,-175.914,138.013,52.347,152.488,NA,NA,NA,NA,0,105.786,59.713,-25.953,13:11,168.3,142.347,2.48442383033637,1,,,,,,,,,
168,MECHANICSBURG,5,2015,MB_050515_13_11_for_1min.avi,yes,13:11,3,3,4,8,1256.115,1293.525,1270.144,12.514,112.23,195.683,158.813,28.31,0,0,0,0,45,65,54.125,6.312,18.76,31.948,24.403,5.663,0,31.948,12.201,13.56,NA,NA,NA,NA,18.76,31.948,24.403,5.663,NA,NA,NA,NA,23.629,94.399,63.649,31.564,NA,NA,NA,NA,0,-54.671,16.099,-14.651,13:11,168.3,153.649,2.68168094239677,1,,,,,,,,,
169,MECHANICSBURG,5,2015,MB_050515_13_11_for_1min.avi,yes,13:11,4,4,4,8,1123.741,1166.906,1146.763,14.854,247.482,299.281,273.381,17.656,0,0,0,0,32,73,51.375,11.783,24.503,44.418,36.506,8.518,0,44.418,18.253,20.294,NA,NA,NA,NA,24.503,44.418,36.506,8.518,NA,NA,NA,NA,112.62,136.469,123.557,11.631,NA,NA,NA,NA,0,34.32,58.169,45.257,13:11,168.3,213.557,3.72727279068153,1,,,,,,,,,
170,MECHANICSBURG,5,2015,MB_050515_13_11_for_1min.avi,yes,13:11,5,5,4,8,310.791,361.151,335.971,18.634,123.741,243.165,187.41,42.598,0,0,0,0,55,96,79.625,13.564,22.337,38.231,29.319,6.6,0,38.231,14.66,16.257,NA,NA,NA,NA,22.337,38.231,29.319,6.6,NA,NA,NA,NA,84.289,111.251,102.568,12.482,NA,NA,NA,NA,0,5.98899999999999,32.951,24.268,13:11,168.3,192.568,3.36094563398044,1,,,,,,,,,
171,MECHANICSBURG,5,2015,MB_050515_13_16_for_1min.avi,yes,13:16,1,1,4,8,1076.259,1112.23,1094.424,14.222,359.712,392.806,376.259,12.892,2.035,2.836,2.419,0.338,18,52,39.875,10.398,29.523,41.727,33.682,5.58,0,41.727,16.841,18.37,NA,NA,NA,NA,29.523,41.727,33.682,5.58,12.823,14.913,13.921,1.046,-46.975,-31.43,-39.796,8.051,NA,NA,NA,NA,0,-128.175,-112.63,-120.996,13:16,171.2,50.204,0.876225097671233,1,,,,,,,,,
