dance.id,hive,day,year,segment,dance.found,segment start time,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,duration,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading,flag,,,,,,,,,
314,MOOREMAN,4,2015,MOOREMAN_050415_13_41_for_1min.avi,yes,13:42,1,1,4,8,834.833,874.167,850.5,12.375,604.833,634.833,618.583,9.661,0.567,0.734,0.634,0.072,49,93,72,15.712,14.682,25.526,20.292,5.95,0,25.526,10.146,11.525,NA,NA,NA,NA,14.682,25.526,20.292,5.95,24.445,39.974,31.682,7.02,129.472,144.638,138.385,6.391,NA,NA,NA,NA,0,32.172,47.338,41.085,13:42,187.3,228.385,3.98607021216725,1,,,,,,,,,
315,MOOREMAN,4,2015,MOOREMAN_050415_13_41_for_1min.avi,yes,13:42,2,2,4,8,954.167,1039.5,1000.333,33.534,586.5,615.833,600.333,11.435,1.168,1.602,1.351,0.182,51,74,62.5,7.27,20.32,30.696,27.133,4.684,0,30.696,13.567,14.824,NA,NA,NA,NA,20.32,30.696,27.133,4.684,17.399,22.75,20.057,2.298,-144.162,-124.38,-134.849,8.87,NA,NA,NA,NA,0,118.538,138.32,127.851,13:42,187.3,315.151,5.50042259095265,1,,,,,,,,,
316,MOOREMAN,4,2015,MOOREMAN_050415_13_41_for_1min.avi,yes,13:42,3,3,4,8,334.5,383.167,354.083,14.928,359.167,431.167,387.75,22.676,1.034,1.535,1.285,0.225,85,135,105.75,17.982,18.439,35.131,27.159,7.46,0,35.131,13.579,15.316,NA,NA,NA,NA,18.439,35.131,27.159,7.46,15.789,23.059,21.002,3.492,-130.601,-109.983,-120.134,8.868,NA,NA,NA,NA,0,132.099,152.717,142.566,13:42,187.3,329.866,5.75724779038362,1,,,,,,,,,
317,MOOREMAN,4,2015,MOOREMAN_050415_13_46_for_1min.avi,yes,13:46,1,1,4,8,936.167,1029.5,993.167,32.371,405.167,571.167,490.5,71.607,1.001,1.935,1.502,0.417,52,73,60.5,7.69,28.721,59.524,37.784,14.55,0,59.524,18.892,22.33,NA,NA,NA,NA,28.721,59.524,37.784,14.55,16.322,34.306,25.694,7.66,-164.407,-135.855,-152.974,12.265,NA,NA,NA,NA,0,95.993,124.545,107.426,13:46,189.6,297.026,5.18408166402868,1,,,,,,,,,
318,MOOREMAN,4,2015,MOOREMAN_050415_13_51_for_1min.avi,yes,13:51,1,1,4,8,770.5,812.5,792.5,17.008,354.167,406.167,380.583,16.835,1.168,1.468,1.276,0.135,60,118,83.125,22.152,34.903,43.461,39.179,4.176,0,43.461,19.59,21.12,NA,NA,NA,NA,34.903,43.461,39.179,4.176,28.593,34.277,30.769,2.589,-159.55,-118.523,-141.079,17.293,NA,NA,NA,NA,0,97.95,138.977,116.421,13:51,192.5,308.921,5.3916885785534,1,,,,,,,,,
319,MOOREMAN,4,2015,MOOREMAN_050415_13_56_for_1min.avi,yes,13:56,1,1,4,8,787,824,810.375,12.42,594,662,621.5,23.04,0.467,0.901,0.751,0.197,56,100,81.125,15.716,20.616,34.482,27.265,5.697,0,34.482,13.633,15.044,NA,NA,NA,NA,20.616,34.482,27.265,5.697,29.2,44.132,37.28,6.321,81.254,106.858,98.669,11.748,NA,NA,NA,NA,0,-24.146,1.458,-6.73100000000001,13:56,195.4,188.669,3.29289524644518,1,,,,,,,,,
320,MOOREMAN,4,2015,MOOREMAN_050415_14_01_for_1min.avi,no,14:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-108,-108,-108,14:01,198.2,90,2,0,,,,,,,,,
321,MOOREMAN,4,2015,MOOREMAN_050415_14_06_for_1min.avi,no,14:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-111,-111,-111,14:06,201,90,2,0,,,,,,,,,
322,MOOREMAN,4,2015,MOOREMAN_050415_14_11_for_1min.avi,no,14:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-114,-114,-114,14:11,203.7,90,2,0,,,,,,,,,
323,MOOREMAN,4,2015,MOOREMAN_050415_14_16_for_1min.avi,yes,14:16,1,1,4,8,1050.167,1112.833,1079.833,26.897,308.167,350.833,328.333,14.399,0.567,0.801,0.684,0.104,54,101,72,13.565,16.465,24.739,22.289,3.9,0,24.739,11.145,12.185,NA,NA,NA,NA,16.465,24.739,22.289,3.9,25.972,42.081,32.938,6.741,75.964,144.09,106.547,28.908,NA,NA,NA,NA,0,-40.336,27.79,-9.75300000000001,14:16,206.3,196.547,3.43039228491729,1,,,,,,,,,
