"","hive","quantile","day","month","year","hour","minute","mean_duration.sec","heading.degrees","azimuth"
"3","FSR",1,4,"MAY",2015,14,30,2.744,212.69,215.5
"5","FSR",1,4,"MAY",2015,14,30,3.278,186.701,219.9
"6","FSR",1,4,"MAY",2015,14,30,1.51,145.384,219.9
"7","FSR",1,4,"MAY",2015,14,30,2.361,313.42,222
"8","FSR",1,4,"MAY",2015,14,30,2.494,142.822,224
"25","FSR",1,5,"MAY",2015,11,20,2.261,307.697,120.7
"26","FSR",1,5,"MAY",2015,11,20,1.985,295.872,120.7
"27","FSR",1,5,"MAY",2015,11,20,2.127,314.733,120.7
"28","FSR",1,5,"MAY",2015,11,20,1.143,10.252,122.1
"29","FSR",1,5,"MAY",2015,11,20,1.084,358.451,122.1
"30","FSR",1,5,"MAY",2015,11,20,1.643,327.976,122.1
"31","FSR",1,5,"MAY",2015,11,20,1.343,289.287,123.7
"32","FSR",1,5,"MAY",2015,11,20,2.052,313.878,125.3
"33","FSR",1,5,"MAY",2015,11,20,1.752,305.766,125.3
"34","FSR",1,5,"MAY",2015,11,20,2.194,306.053,125.3
"35","FSR",1,5,"MAY",2015,11,20,1.927,315.812,126.9
"36","FSR",1,5,"MAY",2015,11,20,1.393,255.138,126.9
"37","FSR",1,5,"MAY",2015,11,20,2.135,319.918,128.6
"38","FSR",1,5,"MAY",2015,11,20,1.593,301.924,128.6
"39","FSR",1,5,"MAY",2015,11,20,2.044,308.951,128.6
"40","FSR",1,5,"MAY",2015,11,20,1.493,17.564,128.6
"41","FSR",1,5,"MAY",2015,11,20,1.677,305.964,130.4
"42","FSR",1,5,"MAY",2015,11,20,2.92,205.797,132.2
"43","FSR",1,5,"MAY",2015,11,20,1.627,307.338,134.1
"44","FSR",1,5,"MAY",2015,11,20,3.07,204.574,134.1
"45","FSR",1,5,"MAY",2015,11,20,2.311,310.226,136.1
"46","FSR",1,5,"MAY",2015,11,20,1.451,268.648,136.1
"47","FSR",1,5,"MAY",2015,11,20,1.585,304.796,136.1
"48","FSR",1,5,"MAY",2015,11,20,2.377,324.208,138.1
"49","FSR",1,5,"MAY",2015,11,20,2.402,310.748,140.2
"50","FSR",1,5,"MAY",2015,11,20,1.81,325.9,140.2
"52","FSR",1,6,"MAY",2015,10,55,2.077,112.012,113.6
"54","FSR",1,6,"MAY",2015,10,55,2.377,300.688,116.2
"55","FSR",1,6,"MAY",2015,10,55,0.784,254.517,116.2
"56","FSR",1,6,"MAY",2015,10,55,4.488,70.117,116.2
"57","FSR",1,6,"MAY",2015,10,55,3.153,201.11,117.5
"58","FSR",1,6,"MAY",2015,10,55,2.236,304.102,118.9
"59","FSR",1,6,"MAY",2015,10,55,0.909,260.259,118.9
"60","FSR",1,6,"MAY",2015,10,55,1.985,294.845,120.4
"61","FSR",1,6,"MAY",2015,10,55,1.802,284.319,120.4
"62","FSR",1,6,"MAY",2015,10,55,2.042,299.134,121.8
"63","FSR",1,6,"MAY",2015,10,55,2.094,222.92,121.8
"64","FSR",1,6,"MAY",2015,10,55,1.727,303.919,121.8
"65","FSR",1,6,"MAY",2015,10,55,1.201,236.434,121.8
"66","FSR",1,6,"MAY",2015,10,55,1.018,236.996,121.8
"73","FSR",1,6,"MAY",2015,10,55,2.002,321.497,126.6
"74","FSR",1,6,"MAY",2015,10,55,1.994,281.547,126.6
"75","FSR",1,6,"MAY",2015,10,55,1.593,290.58,126.6
"76","FSR",1,6,"MAY",2015,10,55,2.294,298.153,126.6
"77","FSR",1,6,"MAY",2015,10,55,1.969,297.109,128.3
"78","FSR",1,6,"MAY",2015,10,55,2.553,305.195,128.3
"79","FSR",1,6,"MAY",2015,10,55,2.035,311.36,128.3
"80","FSR",1,6,"MAY",2015,10,55,1.927,231.654,130.1
"81","FSR",1,6,"MAY",2015,10,55,2.227,228.107,131.9
"82","FSR",1,6,"MAY",2015,10,55,1.109,236.379,133.8
"83","FSR",1,6,"MAY",2015,10,55,1.076,255.544,133.8
"84","FSR",1,6,"MAY",2015,10,55,2.419,289.742,135.8
"85","FSR",1,6,"MAY",2015,10,55,1.068,249.909,135.8
"86","FSR",1,6,"MAY",2015,10,55,2.11,318.494,135.8
"87","FSR",1,6,"MAY",2015,10,55,2.376,175.622,137.8
"88","FSR",1,6,"MAY",2015,10,55,2.069,308.056,137.8
"89","FSR",1,7,"MAY",2015,15,18,2.102,246.1,233.5
"90","FSR",1,7,"MAY",2015,15,18,1.969,126.013,235.2
"97","FSR",1,7,"MAY",2015,15,18,1.919,42.612,245.3
"105","FSR",1,8,"MAY",2015,10,22,1.718,281.605,108.1
"106","FSR",1,8,"MAY",2015,10,22,2.027,314.347,109.2
"107","FSR",1,8,"MAY",2015,10,22,1.443,310.705,110.4
"108","FSR",1,8,"MAY",2015,10,22,1.885,319.013,111.6
"109","FSR",1,8,"MAY",2015,10,22,1.318,181.177,111.6
"111","FSR",2,10,"MAY",2015,16,10,3.612,281.702,248.7
"117","FSR",2,10,"MAY",2015,16,10,3.086,205.701,255.4
"118","FSR",2,10,"MAY",2015,16,10,3.07,203.613,256.5
"119","FSR",2,10,"MAY",2015,16,10,1.944,349.286,256.5
"121","FSR",2,10,"MAY",2015,16,10,2.319,184.811,258.4
"122","FSR",2,10,"MAY",2015,16,10,2.544,188.954,259.4
"124","FSR",2,10,"MAY",2015,16,10,2.603,269.737,261.3
"125","FSR",2,14,"MAY",2015,13,32,2.895,170.991,180.6
"126","FSR",2,14,"MAY",2015,13,32,2.97,268.16,180.6
"127","FSR",2,14,"MAY",2015,13,32,3.103,185.444,180.6
"128","FSR",2,14,"MAY",2015,13,32,2.703,257.672,180.6
"129","FSR",2,14,"MAY",2015,13,32,2.744,277.696,183.8
"130","FSR",2,14,"MAY",2015,13,32,2.169,185.064,183.8
"131","FSR",2,14,"MAY",2015,13,32,3.237,152.145,187.1
"132","FSR",2,14,"MAY",2015,13,32,2.394,159.108,187.1
"133","FSR",2,14,"MAY",2015,13,32,2.853,164.599,190.3
